"timestamp","latitude","longitude","accel_mean","accel_variance","accel_stats_x_p1","accel_stats_x_p10","accel_stats_x_p90","accel_stats_x_p99","accel_stats_y_p1","accel_stats_y_p10","accel_stats_y_p90","accel_stats_y_p99","accel_stats_z_p1","accel_stats_z_p10","accel_stats_z_p90","accel_stats_z_p99"
"2025-06-06 16:24:22","33.776508","-84.387422","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:24:19","33.776526","-84.387426","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:24:16","33.776544","-84.387448","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:24:13","33.776558","-84.387454","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:24:10","33.77656","-84.387475","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:24:07","33.776535","-84.387495","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:24:04","33.776489","-84.387505","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:24:01","33.776462","-84.387499","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:23:58","33.776456","-84.387514","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:23:55","33.776473","-84.387542","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:23:52","33.776487","-84.387557","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:23:49","33.776488","-84.387546","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:23:46","33.776475","-84.387528","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:23:43","33.776439","-84.387488","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:23:40","33.776412","-84.387462","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
